[2025-09-17 21:32:44] iter 317, accuracy: 0.820984320239115
[2025-09-17 21:32:44] iter 318, accuracy: 0.9441077441077437
[2025-09-17 21:32:44] iter 319, accuracy: 0.8311769645729248
[2025-09-17 21:32:44] iter 320, accuracy: 0.8692459707522723
[2025-09-17 21:32:44] iter 321, accuracy: 0.7109944164271704
[2025-09-17 21:32:44] iter 322, accuracy: 0.9554828028795175
[2025-09-17 21:32:44] iter 323, accuracy: 0.8226504584243642
[2025-09-17 21:32:44] iter 324, accuracy: 0.8072448756702669
[2025-09-17 21:32:44] iter 325, accuracy: 0.7023900549130936
[2025-09-17 21:32:44] iter 326, accuracy: 0.8236720239716696
[2025-09-17 21:32:44] iter 327, accuracy: 0.8620932309340951
[2025-09-17 21:32:44] iter 328, accuracy: 0.7248617899206792
[2025-09-17 21:32:44] iter 329, accuracy: 0.6935752044795368
[2025-09-17 21:32:44] iter 330, accuracy: 0.7137553481282491
[2025-09-17 21:32:44] iter 331, accuracy: 0.8635246242908498
[2025-09-17 21:32:44] iter 332, accuracy: 0.8386085638057468
[2025-09-17 21:32:44] iter 333, accuracy: 0.9001909311238865
[2025-09-17 21:32:44] iter 334, accuracy: 0.8389629359138211
[2025-09-17 21:32:44] iter 335, accuracy: 0.8457673851899027
[2025-09-17 21:32:44] iter 336, accuracy: 0.8894906956120224
[2025-09-17 21:32:45] iter 337, accuracy: 0.9040349614625939
[2025-09-17 21:32:45] iter 338, accuracy: 0.678411714314753
[2025-09-17 21:32:45] iter 339, accuracy: 0.8152966335694242
[2025-09-17 21:32:45] iter 340, accuracy: 0.6348888633150296
[2025-09-17 21:32:45] iter 341, accuracy: 0.7634104524275367
[2025-09-17 21:32:45] iter 342, accuracy: 0.6106413684607415
[2025-09-17 21:32:45] iter 343, accuracy: 0.8644381150277117
[2025-09-17 21:32:45] iter 344, accuracy: 0.7080865757047641
[2025-09-17 21:32:45] iter 345, accuracy: 0.9024475140145821
[2025-09-17 21:32:45] iter 346, accuracy: 0.7553579490103829
[2025-09-17 21:32:45] iter 347, accuracy: 0.9212109115103123
[2025-09-17 21:32:45] iter 348, accuracy: 0.878623180082789
[2025-09-17 21:32:45] iter 349, accuracy: 0.761966908895402
[2025-09-17 21:32:45] iter 350, accuracy: 0.7687548819350979
[2025-09-17 21:32:45] iter 351, accuracy: 0.8406168410375848
